TrialNumber,Trialn,Blockn,BlockType,Partner,Feedback,ITI,ran,order,studyStart,InitFixOnset,decision_onset,resp,resp_onset,rt,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset
1,1,1,4,2,3,0.750000,1.0,0.0,4.2262254e-06,0.005580744,4.0926566,3.0,4.9069657,0.8143092,7.0,6.6107984,7.6255593,3.532903,7.6257915,8.376723
2,2,1,4,2,3,0.750000,1.0,1.0,--,--,8.466226,3.0,8.810044,0.34381843,7.0,10.984268,11.9941,3.5278738,11.994285,12.746519
3,3,1,4,2,1,0.750000,1.0,2.0,--,--,12.806935,3.0,13.063795,0.25686002,3.0,15.32463,16.3374,3.5304658,16.337599,17.100237
4,4,1,4,2,3,0.750000,1.0,3.0,--,--,17.156555,3.0,17.384281,0.22772676,6.0,19.674788,20.686798,3.5302444,20.68699,21.437172
5,5,1,4,2,3,0.750000,1.0,4.0,--,--,21.494131,3.0,21.78829,0.29415897,9.0,24.01068,25.020748,3.526617,25.020933,25.774126
6,6,1,4,2,3,0.750000,1.0,5.0,--,--,25.830603,2.0,26.391685,0.56108373,1.0,28.347475,29.358305,3.5277023,29.358494,30.11114
7,7,1,4,2,3,0.750000,1.0,6.0,--,--,30.167564,2.0,30.444962,0.2773977,3.0,32.6846,33.69382,3.526257,33.694,34.447906
8,8,1,4,2,2,10,1.0,7.0,--,--,34.50378,2.0,34.8317,0.32792145,5.0,37.022655,38.035458,3.5316792,38.03564,48.0425
9,9,2,6,3,3,0.750000,1.0,8.0,--,--,48.146633,3.0,49.54421,1.3975725,9.0,50.66379,51.67385,3.5272183,51.674038,52.429386
10,10,2,6,3,3,0.750000,1.0,9.0,--,--,52.516323,3.0,52.796444,0.2801221,6.0,55.03351,56.04182,3.525499,56.04201,56.799847
11,11,2,6,3,2,0.750000,1.0,10.0,--,--,56.88655,3.0,57.150406,0.26385623,5.0,59.404095,60.413506,3.526956,60.413696,61.170036
12,12,2,6,3,2,0.750000,1.0,11.0,--,--,61.257195,2.0,61.487278,0.23008439,5.0,63.774136,64.78286,3.5256648,64.78304,65.540276
13,13,2,6,3,3,0.750000,1.0,12.0,--,--,65.62736,3.0,66.39117,0.76381445,9.0,68.14519,69.155876,3.5285237,69.15606,69.91059
14,14,2,6,3,3,0.750000,1.0,13.0,--,--,69.99739,2.0,71.10824,1.1108463,3.0,72.51864,73.527176,3.5297792,73.52736,74.28092
15,15,2,6,3,3,0.750000,1.0,14.0,--,--,74.36761,2.0,74.76473,0.39712784,2.0,76.88472,77.89467,3.5270653,77.89485,78.6511
16,16,2,6,3,3,10,1.0,15.0,--,--,78.73774,3.0,79.11846,0.3807216,8.0,81.25519,82.26528,3.5275414,82.265465,92.278984
17,17,3,3,2,3,0.750000,1.0,16.0,--,--,92.365456,3.0,93.3302,0.9647375,7.0,94.88304,95.89253,3.5270765,95.89272,96.649155
18,18,3,3,2,1,0.750000,1.0,17.0,--,--,96.72214,3.0,97.18335,0.46120754,1.0,99.239204,100.24991,3.5277653,100.25009,101.00289
19,19,3,3,2,1,0.750000,1.0,18.0,--,--,101.06076,3.0,101.33689,0.27613044,3.0,103.57768,104.585754,3.5249898,104.58594,105.33988
20,20,3,3,2,1,0.750000,1.0,19.0,--,--,105.39669,3.0,105.85701,0.4603161,4.0,107.914246,108.92448,3.5277817,108.92466,109.67684
21,21,3,3,2,1,0.750000,1.0,20.0,--,--,109.731705,3.0,110.16068,0.42897403,3.0,112.250244,113.25883,3.52712,113.25901,114.01375
22,22,3,3,2,1,0.750000,1.0,21.0,--,--,114.07007,2.0,115.7152,1.6451339,8.0,116.58706,117.5955,3.5254319,117.5957,118.35071
23,23,3,3,2,3,0.750000,1.0,22.0,--,--,118.40575,2.0,119.686035,1.2802873,2.0,120.92266,121.9325,3.5267572,121.932724,122.68745
24,24,3,3,2,1,8,1.0,23.0,--,--,122.74362,3.0,124.40591,1.6622872,1.0,125.26094,126.27073,3.5271075,126.27091,134.28041
25,25,4,2,1,2,0.750000,1.0,24.0,--,--,134.29109,3.0,134.9813,0.6901904,5.0,136.80806,137.81808,3.5269895,137.81827,138.58406
26,26,4,2,1,3,0.750000,1.0,25.0,--,--,138.58733,3.0,138.9011,0.31376716,6.0,141.10513,142.11444,3.5271075,142.11461,142.8709
27,27,4,2,1,3,0.750000,1.0,26.0,--,--,142.8733,3.0,143.18808,0.31477332,8.0,145.39134,146.39972,3.5264204,146.39992,147.15771
28,28,4,2,1,3,0.750000,1.0,27.0,--,--,147.16003,3.0,147.45824,0.29819077,6.0,149.67705,150.686,3.5259676,150.68619,151.4445
29,29,4,2,1,3,0.750000,1.0,28.0,--,--,151.44684,3.0,151.8789,0.43207458,6.0,153.96332,154.97118,3.524335,154.97136,155.7314
30,30,4,2,1,3,0.750000,1.0,29.0,--,--,155.73372,3.0,156.08202,0.34829128,9.0,158.25072,159.2589,3.5251725,159.25908,160.0183
31,31,4,2,1,1,0.750000,1.0,30.0,--,--,160.02061,3.0,160.38576,0.36513436,3.0,162.53828,163.54797,3.5273511,163.54816,164.30525
32,32,4,2,1,3,8,1.0,31.0,--,--,164.3076,2.0,164.75586,0.44824326,2.0,166.82487,167.83496,3.527355,167.83516,175.84804
33,33,5,3,2,2,0.750000,1.0,32.0,--,--,175.93234,3.0,176.51549,0.5831435,5.0,178.44928,179.45898,3.5266368,179.45917,180.21837
34,34,5,3,2,1,0.750000,1.0,33.0,--,--,180.29286,3.0,180.70236,0.40950558,2.0,182.81013,183.81985,3.5269897,183.82004,184.57199
35,35,5,3,2,1,0.750000,1.0,34.0,--,--,184.62738,2.0,184.92267,0.2952931,6.0,187.14432,188.153,3.5256193,188.15318,188.90872
36,36,5,3,2,1,0.750000,1.0,35.0,--,--,188.96513,2.0,189.24265,0.27751756,8.0,191.48262,192.4912,3.5260708,192.4914,193.2456
37,37,5,3,2,1,0.750000,1.0,36.0,--,--,193.30084,3.0,193.54625,0.24540873,4.0,195.81812,196.82663,3.5257952,196.82683,197.5826
38,38,5,3,2,1,0.750000,1.0,37.0,--,--,197.63858,2.0,197.94965,0.311066,6.0,200.15567,201.16502,3.526432,201.1652,201.91962
39,39,5,3,2,1,0.750000,1.0,38.0,--,--,201.97508,3.0,202.42026,0.4451708,3.0,204.49208,205.50075,3.52567,205.50095,206.25656
40,40,5,3,2,3,10,1.0,39.0,--,--,206.3124,3.0,206.60709,0.29468903,7.0,208.83015,209.84003,3.5276256,209.84023,219.85106
41,41,6,5,3,3,0.750000,1.0,40.0,--,--,219.95738,3.0,220.41882,0.46145085,6.0,222.47417,223.48276,3.5253727,223.48294,224.23814
42,42,6,5,3,2,0.750000,1.0,41.0,--,--,224.32495,3.0,224.65514,0.33018428,5.0,226.84163,227.85127,3.5263236,227.85146,228.6083
43,43,6,5,3,1,0.750000,1.0,42.0,--,--,228.69551,2.0,229.62602,0.93051165,8.0,231.21292,232.22284,3.527324,232.22302,232.97855
44,44,6,5,3,1,0.750000,1.0,43.0,--,--,233.06517,3.0,233.66278,0.5976008,1.0,235.5826,236.591,3.5258327,236.59119,237.34879
45,45,6,5,3,1,0.750000,1.0,44.0,--,--,237.43575,2.0,237.81621,0.38045776,6.0,239.95296,240.96165,3.525907,240.96184,241.71909
