nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,2,25,1,3,11,5
2,2,23,1,1.5,1,10
3,1,23,5,3,4,7
4,3,23,3,1.5,0,4
5,2,25,3,1.5,5,2
6,3,15,5,1.5,0,5
7,1,23,3,1.5,7,4
8,2,23,1,1.5,4,1
9,3,19,1,1.5,6,0
10,2,21,1,1.5,7,4
11,3,21,3,4.5,9,0
12,3,17,5,3,1,0
13,2,15,5,1.5,1,3
14,1,15,1,3,5,7
15,2,25,3,4.5,11,2
16,2,21,1,3,9,4
17,2,21,3,1.5,9,7
18,2,17,1,4.5,5,1
19,3,23,8,1.5,10,0
20,2,21,1,1.5,4,9
21,3,23,3,1.5,0,7
22,1,19,3,4.5,9,6
23,3,19,5,4.5,0,4
24,1,17,1,1.5,5,8
25,1,15,8,3,1,7
26,1,19,1,1.5,9,1
27,1,19,1,4.5,4,9
28,3,25,3,3,0,2
29,3,17,1,1.5,0,8
30,1,19,1,1.5,1,4
31,1,23,1,1.5,10,1
32,1,25,1,1.5,5,11
33,2,19,1,1.5,1,6
34,3,25,3,3,8,0
35,3,21,8,3,1,0
36,1,21,1,3,7,1
