Trial,Endowment,Earned,Choice,Offer,Prop_Endowment
2,17,8,1,8,0.470588235294118
3,17,3,1,3,0.176470588235294
7,25,8,1,8,0.32
8,23,10,1,10,0.434782608695652
9,23,7,1,7,0.304347826086957
13,17,5,1,5,0.294117647058824
23,19,4,1,4,0.210526315789474
30,15,1,1,1,0.0666666666666667
3,25,2,1,2,0.08
5,19,6,1,6,0.315789473684211
10,15,7,1,7,0.466666666666667
11,19,6,1,6,0.315789473684211
13,17,5,1,5,0.294117647058824
17,17,3,1,3,0.176470588235294
18,23,7,1,7,0.304347826086957
25,19,1,1,1,0.0526315789473684
26,19,1,1,1,0.0526315789473684
27,19,1,1,1,0.0526315789473684
29,17,3,1,3,0.176470588235294
