Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
2,23,7,0,0.434782608695652,0.304347826086957
6,19,1,0,0.210526315789474,0.0526315789473684
7,19,6,0,0.473684210526316,0.315789473684211
9,15,1,0,0.2,0.0666666666666667
10,19,4,0,0.473684210526316,0.210526315789474
13,21,1,0,0.19047619047619,0.0476190476190476
16,17,3,0,0.294117647058824,0.176470588235294
17,19,4,0,0.473684210526316,0.210526315789474
21,19,1,0,0.210526315789474,0.0526315789473684
30,17,3,0,0.470588235294118,0.176470588235294
31,17,1,0,0.470588235294118,0.0588235294117647
35,15,1,0,0.333333333333333,0.0666666666666667
1,23,1,0,0.304347826086957,0.0434782608695652
6,23,1,0,0.434782608695652,0.0434782608695652
8,25,8,0,0.44,0.32
9,19,4,0,0.473684210526316,0.210526315789474
16,23,1,0,0.304347826086957,0.0434782608695652
19,19,4,0,0.315789473684211,0.210526315789474
24,25,5,0,0.44,0.2
27,17,1,0,0.294117647058824,0.0588235294117647
29,19,1,0,0.473684210526316,0.0526315789473684
30,15,3,0,0.466666666666667,0.2
31,19,4,0,0.473684210526316,0.210526315789474
36,19,1,0,0.473684210526316,0.0526315789473684
