nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,3,23,8,0.5,5.75,0
2,2,17,4,2,3.23,1.02
3,3,21,4,3.5,1.05,0
4,3,15,6,0.5,5.25,0
5,1,25,2,0.5,8,4.75
6,2,21,6,2,3.99,6.72
7,2,23,8,0.5,1.38,10.35
8,1,15,4,2,6.75,2.85
9,2,17,2,0.5,3.23,7.65
10,1,19,4,0.5,6.08,3.61
11,2,25,2,0.5,8,1.5
12,1,25,6,0.5,8,1.5
13,1,15,2,0.5,4.8,0.9
14,1,25,2,3.5,4.75,11.25
15,1,15,4,3.5,4.8,6.75
16,2,19,6,0.5,8.55,1.14
17,1,25,2,2,4.75,8
18,3,15,2,2,5.25,0
19,3,21,2,0.5,5.25,0
20,2,23,2,0.5,7.36,10.35
21,3,25,8,0.5,6.25,0
22,1,19,6,0.5,3.61,8.55
23,2,23,4,2,10.35,1.38
24,1,23,6,2,4.37,1.38
25,1,17,2,3.5,7.65,1.02
26,2,15,4,0.5,0.9,4.8
27,2,19,2,0.5,8.55,3.61
28,3,23,2,0.5,10.35,0
29,1,19,2,0.5,3.61,8.55
30,1,25,2,2,1.5,4.75
31,3,17,2,3.5,4.25,0
32,1,15,4,0.5,0.9,4.8
33,3,23,2,2,1.15,0
34,3,19,2,0.5,2.85,0
35,2,15,2,0.5,4.8,0.9
36,3,17,2,0.5,4.25,0
37,3,15,2,0.5,2.25,0
38,2,19,4,0.5,1.14,8.55
39,2,21,6,2,1.26,3.99
40,1,19,2,0.5,1.14,8.55
41,3,15,6,0.5,6.75,0
42,3,23,8,0.5,8.05,0
43,1,23,4,2,10.35,1.38
44,3,23,2,0.5,10.35,0
45,3,15,4,0.5,2.25,0
46,2,19,4,2,6.08,3.61
47,3,23,2,0.5,1.15,0
48,1,23,2,0.5,4.37,7.36
49,2,19,2,2,3.61,6.08
50,2,21,4,2,9.45,6.72
51,2,23,4,2,1.38,7.36
52,2,25,2,0.5,1.5,8
53,3,25,2,0.5,8.75,0
54,3,25,2,2,8.75,0
55,1,17,4,0.5,3.23,1.02
56,2,15,8,0.5,6.75,2.85
57,1,15,8,3.5,4.8,2.85
58,3,21,2,0.5,1.05,0
59,2,15,2,0.5,4.8,6.75
60,2,15,2,2,4.8,6.75
61,3,17,4,3.5,2.55,0
62,3,19,2,3.5,2.85,0
63,1,19,2,0.5,8.55,6.08
64,1,25,6,0.5,4.75,1.5
65,1,25,2,0.5,11.25,4.75
66,2,15,6,3.5,0.9,2.85
67,2,17,4,2,7.65,5.44
68,3,15,2,2,6.75,0
69,2,23,4,2,1.38,4.37
70,1,21,4,3.5,1.26,9.45
71,1,21,4,3.5,9.45,6.72
72,3,25,2,3.5,1.25,0
