nTrial,trial_type,Endowment,ITI,ISI,L_Option,R_Option
1,1,17,4,3.5,8,1
2,2,17,2,0.5,3,5
3,3,23,6,0.5,0,1
4,1,19,8,3.5,1,4
5,1,15,2,2,3,1
6,2,25,2,0.5,5,11
7,2,15,6,0.5,5,3
8,3,23,4,3.5,0,6
9,2,21,8,0.5,4,9
10,2,15,2,0.5,7,5
11,3,17,6,0.5,0,1
12,3,17,4,2,0,3
13,3,15,2,0.5,0,4
14,2,17,2,2,8,3
15,1,15,2,0.5,3,1
16,2,15,4,2,5,7
17,3,25,2,0.5,0,9
18,3,17,2,3.5,1,0
19,1,19,4,2,1,6
20,3,17,2,0.5,3,0
21,2,21,2,0.5,7,9
22,1,17,6,0.5,8,5
23,3,15,4,0.5,0,2
24,1,15,6,0.5,5,1
25,1,15,4,0.5,5,3
26,3,17,2,0.5,0,8
27,2,25,2,0.5,11,2
28,2,23,8,2,10,4
29,2,19,2,2,4,6
30,2,19,4,2,1,4
31,1,17,2,3.5,1,8
32,3,19,4,2,7,0
33,1,25,2,3.5,2,11
34,1,25,2,0.5,8,2
35,1,21,4,2,1,7
36,3,17,2,0.5,0,8
