nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,1,17,3,1.5,1,8
2,1,23,3,1.5,4,7
3,2,17,5,4.5,3,8
4,1,19,5,1.5,9,6
5,2,17,3,1.5,5,3
6,3,15,3,1.5,7,0
7,3,21,1,1.5,7,0
8,1,23,5,1.5,7,1
9,3,19,1,1.5,0,9
10,2,15,1,1.5,5,3
11,3,23,5,3,0,1
12,2,23,1,1.5,7,1
13,3,19,5,3,0,6
14,2,17,1,1.5,8,5
15,2,23,1,1.5,7,10
16,2,17,1,4.5,3,8
17,1,23,8,1.5,10,1
18,2,19,8,1.5,4,1
19,1,25,1,3,11,5
20,2,21,3,1.5,4,7
21,3,19,3,1.5,9,0
22,1,15,1,4.5,1,3
23,1,21,3,3,1,7
24,3,25,1,4.5,8,0
25,2,21,8,3,1,9
26,1,19,3,3,4,9
27,1,19,3,1.5,6,1
28,2,15,3,3,7,1
29,1,21,1,4.5,9,7
30,3,19,1,3,0,4
31,3,23,1,1.5,4,0
32,3,17,1,3,0,8
33,1,19,1,3,1,9
34,2,25,1,4.5,5,2
35,3,25,1,1.5,2,0
36,3,25,1,1.5,2,0
