Trialn,Blockn,Partner,IsFairBlock,Offer,ITI
1,1,3,1,9,0.750000
2,1,3,1,8,0.750000
3,1,3,1,1,0.750000
4,1,3,1,8,0.750000
5,1,3,1,10,0.750000
6,1,3,1,10,0.750000
7,1,3,1,6,0.750000
8,1,3,1,8,8
9,2,1,0,3,0.750000
10,2,1,0,3,0.750000
11,2,1,0,4,0.750000
12,2,1,0,7,0.750000
13,2,1,0,6,0.750000
14,2,1,0,1,0.750000
15,2,1,0,1,0.750000
16,2,1,0,4,12
17,3,3,0,2,0.750000
18,3,3,0,4,0.750000
19,3,3,0,1,0.750000
20,3,3,0,2,0.750000
21,3,3,0,4,0.750000
22,3,3,0,8,0.750000
23,3,3,0,2,0.750000
24,3,3,0,5,10
25,4,2,0,3,0.750000
26,4,2,0,5,0.750000
27,4,2,0,3,0.750000
28,4,2,0,4,0.750000
29,4,2,0,3,0.750000
30,4,2,0,4,0.750000
31,4,2,0,8,0.750000
32,4,2,0,1,10
33,5,3,0,2,0.750000
34,5,3,0,1,0.750000
35,5,3,0,1,0.750000
36,5,3,0,1,0.750000
37,5,3,0,1,0.750000
38,5,3,0,9,0.750000
39,5,3,0,4,0.750000
40,5,3,0,6,12
41,6,2,1,9,0.750000
42,6,2,1,6,0.750000
43,6,2,1,10,0.750000
44,6,2,1,10,0.750000
45,6,2,1,2,0.750000
46,6,2,1,10,0.750000
47,6,2,1,7,0.750000
48,6,2,1,9,12
49,7,1,1,10,0.750000
50,7,1,1,8,0.750000
51,7,1,1,1,0.750000
52,7,1,1,7,0.750000
53,7,1,1,5,0.750000
54,7,1,1,8,0.750000
55,7,1,1,10,0.750000
56,7,1,1,10,8
57,8,2,1,8,0.750000
58,8,2,1,8,0.750000
59,8,2,1,1,0.750000
60,8,2,1,9,0.750000
61,8,2,1,7,0.750000
62,8,2,1,9,0.750000
63,8,2,1,10,0.750000
64,8,2,1,6,10
65,9,3,1,7,0.750000
66,9,3,1,10,0.750000
67,9,3,1,6,0.750000
68,9,3,1,8,0.750000
69,9,3,1,1,0.750000
70,9,3,1,9,0.750000
71,9,3,1,9,0.750000
72,9,3,1,10,8
