TrialNumber,nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option,ran,order,cue_Onset,endowment_onset,endowment_offset,ISI_onset,ISI_offset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
1,1,2,23,5,1.5,1,7,1.0,0.0,4.0071187,5.0132675,6.024342,6.024532,7.5299697,7.530125,999.0,999.0,999.0,10.538863,3.5255072,11.055866,16.061275
2,2,1,23,5,1.5,4,10,1.0,1.0,16.06376,17.06924,18.075409,18.075531,19.581034,19.581156,999.0,999.0,999.0,22.597126,3.5332308,23.114586,28.119999
3,3,2,25,1,3,11,5,1.0,2.0,28.121202,29.127134,30.136297,30.136461,33.142464,33.142586,999.0,999.0,999.0,36.15697,3.5314803,36.674225,37.679535
4,4,2,23,1,1.5,7,4,1.0,3.0,37.680866,38.686855,39.69492,39.69507,41.200306,41.200428,999.0,999.0,999.0,44.21276,3.5292544,44.729874,45.73527
5,5,1,17,3,1.5,5,3,1.0,4.0,45.736572,46.74255,47.75026,47.75038,49.25588,49.256,2.0,1.2279137,50.483913,52.773396,3.517987,52.77412,55.779682
6,6,3,19,1,1.5,0,1,1.0,5.0,55.78151,56.78744,57.797054,57.79711,59.302547,59.302704,2.0,2.8726568,62.17536,62.820053,3.5179195,62.820755,63.826057
7,7,1,19,1,1.5,6,9,1.0,6.0,63.828487,64.83392,65.84252,65.84264,67.34829,67.34841,2.0,1.2653071,68.61372,70.86506,3.5172193,70.86576,71.87109
8,8,1,21,1,4.5,1,9,1.0,7.0,71.872406,72.87819,73.88628,73.8864,78.39197,78.39209,3.0,1.496159,79.88825,81.90889,3.5173688,81.90959,82.9149
9,9,2,23,1,3,4,1,1.0,8.0,82.916115,83.92194,84.93053,84.93069,87.93679,87.93693,2.0,1.9746184,89.911545,91.45469,3.5183504,91.455414,92.46076
10,10,2,25,1,3,8,2,1.0,9.0,92.46199,93.46764,94.475914,94.47607,97.48152,97.48165,3.0,1.4199082,98.90156,100.99916,3.5181046,100.999886,102.00555
11,11,3,25,3,1.5,8,0,1.0,10.0,102.00773,103.01342,104.02218,104.02224,105.52768,105.527824,2.0,1.3464485,106.874275,109.04432,3.5170603,109.04502,112.050354
12,12,2,17,8,1.5,1,8,1.0,11.0,112.052475,113.058334,114.06604,114.06619,115.571724,115.571846,2.0,2.5771472,118.148994,119.088234,3.5169826,119.08897,127.09441
13,13,1,17,1,3,5,8,1.0,12.0,127.09686,128.1022,129.10825,129.10837,132.1144,132.11452,3.0,1.9957356,134.11024,135.63159,3.5176518,135.6323,136.63737
14,14,3,23,1,4.5,1,0,1.0,13.0,136.63872,137.64449,138.65286,138.65292,143.15851,143.15866,3.0,2.1094756,145.26814,146.6755,3.517415,146.67621,147.68231
15,15,2,21,1,3,9,1,1.0,14.0,147.68353,148.68916,149.69733,149.69748,152.70282,152.70294,2.0,1.68778,154.39073,156.21979,3.5174112,156.22049,157.2258
16,16,1,15,5,1.5,7,5,1.0,15.0,157.22714,158.23283,159.24034,159.24046,160.74586,160.746,999.0,999.0,999.0,163.7474,3.518401,164.26456,169.26979
17,17,1,25,1,1.5,11,5,1.0,16.0,169.27203,170.27773,171.28568,171.2858,172.79027,172.79039,2.0,2.048262,174.83865,176.30786,3.518044,176.30856,177.31386
18,18,3,19,5,3,0,9,1.0,17.0,177.31512,178.32077,179.32864,179.32869,182.3341,182.33426,999.0,999.0,999.0,185.34608,3.5286782,185.86311,190.86847
19,19,3,17,8,1.5,0,1,1.0,18.0,190.87082,191.87692,192.88527,192.88533,194.39099,194.39114,2.0,2.213293,196.60443,197.90768,3.5171003,197.90837,205.91364
20,20,2,15,1,1.5,7,5,1.0,19.0,205.9154,206.92119,207.92908,207.92923,209.43472,209.43484,3.0,1.7964494,211.2313,212.9518,3.5175097,212.95248,213.9578
21,21,3,23,1,4.5,10,0,1.0,20.0,213.95909,214.96489,215.97276,215.97281,220.47792,220.47807,2.0,1.9281921,222.40627,223.9948,3.5172968,223.9955,225.00027
22,22,2,15,3,3,1,3,1.0,21.0,225.00238,226.00804,227.01692,227.01707,230.02249,230.02261,2.0,1.0895271,231.11214,233.54073,3.518677,233.54141,236.54675
23,23,1,23,1,3,7,1,1.0,22.0,236.54915,237.55449,238.56262,238.56274,241.56825,241.56837,2.0,1.1854286,242.7538,245.0851,3.5172858,245.0858,246.09027
24,24,3,23,1,1.5,4,0,1.0,23.0,246.09158,247.09727,248.1053,248.10536,249.61072,249.61087,3.0,1.5989631,251.20982,253.129,3.5187292,253.12973,254.13509
25,25,1,19,8,1.5,9,1,1.0,24.0,254.13747,255.14319,256.15137,256.1515,257.65692,257.65707,2.0,2.27531,259.93237,261.17413,3.5176435,261.17484,269.1804
26,26,1,15,3,1.5,1,5,1.0,25.0,269.1826,270.18845,271.19632,271.19644,272.70132,272.70145,--,--,--,--,--,--,--
27,27,3,23,1,1.5,0,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
28,28,3,23,1,3,0,7,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
29,29,3,19,3,1.5,4,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
30,30,2,15,3,1.5,3,5,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
31,31,2,25,3,4.5,8,5,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
32,32,3,25,3,4.5,11,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
33,33,1,19,3,4.5,1,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
34,34,2,17,1,3,8,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
35,35,3,19,3,1.5,6,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
36,36,1,19,5,1.5,1,9,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
