nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,1,19,4,2,6,9
2,3,21,4,3.5,3,0
3,1,25,6,2,2,8
4,1,21,4,0.5,1,9
5,2,25,4,2,5,8
6,1,23,4,0.5,7,1
7,1,21,2,2,7,9
8,1,23,4,0.5,7,4
9,3,17,4,0.5,6,0
10,3,25,4,2,4,0
11,3,17,2,0.5,4,0
12,3,21,6,2,1,0
13,1,19,4,0.5,6,1
14,3,25,2,0.5,9,0
15,2,19,2,2,9,6
16,1,25,2,0.5,8,5
17,3,23,2,0.5,6,0
18,1,23,2,0.5,1,4
19,2,17,2,0.5,1,5
20,1,25,8,2,8,5
21,3,25,2,0.5,11,0
22,3,25,2,0.5,6,0
23,2,25,4,0.5,2,8
24,2,25,2,0.5,8,2
25,1,19,4,2,4,6
26,2,15,2,0.5,3,7
27,2,23,2,0.5,10,4
28,2,23,2,2,4,1
29,3,19,4,3.5,7,0
30,3,15,2,0.5,7,0
31,2,23,2,2,7,10
32,3,19,2,0.5,1,0
33,3,25,4,3.5,1,0
34,1,25,2,3.5,5,11
35,2,15,2,2,3,7
36,2,17,8,2,1,3
37,3,15,4,0.5,4,0
38,2,23,2,3.5,10,7
39,1,15,4,0.5,7,1
40,3,25,6,0.5,9,0
41,2,21,2,2,9,1
42,3,25,8,0.5,9,0
43,2,15,2,0.5,3,5
44,1,19,2,2,1,9
45,2,21,2,0.5,4,9
46,2,23,4,0.5,1,4
47,1,19,4,0.5,6,1
48,2,19,2,0.5,1,4
49,3,21,6,0.5,3,0
50,2,19,4,2,4,1
51,2,23,2,2,4,1
52,1,15,6,2,7,1
53,3,23,8,0.5,10,0
54,3,19,2,0.5,5,0
55,1,21,6,3.5,7,4
56,3,19,2,2,3,0
57,2,15,4,0.5,1,7
58,2,21,6,2,9,4
59,3,15,2,3.5,1,0
60,1,23,2,0.5,10,4
61,1,15,6,0.5,3,1
62,1,23,2,0.5,1,10
63,1,21,6,3.5,9,7
64,2,19,2,3.5,9,1
65,1,21,2,0.5,9,7
66,2,21,2,3.5,7,9
67,3,25,4,3.5,1,0
68,2,19,8,0.5,1,6
69,3,17,8,0.5,3,0
70,1,15,2,0.5,7,3
71,1,17,2,0.5,3,5
72,3,19,6,3.5,9,0
