nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,3,17,4,0.5,0,4
2,1,23,2,0.5,4,1
3,2,19,4,3.5,9,1
4,1,15,8,3.5,3,5
5,2,17,2,0.5,8,3
6,1,21,2,2,7,4
7,2,17,2,2,8,1
8,1,15,4,2,7,3
9,3,19,2,0.5,0,1
10,3,19,2,0.5,3,0
11,1,19,2,3.5,6,4
12,1,25,2,0.5,2,8
13,1,17,2,0.5,1,5
14,3,25,2,2,0,4
15,2,25,2,0.5,2,11
16,1,21,2,0.5,4,1
17,3,17,2,0.5,0,6
18,2,21,4,2,7,1
19,3,19,6,0.5,0,1
20,2,25,4,0.5,2,5
21,3,17,4,0.5,1,0
22,2,17,2,0.5,3,8
23,3,15,4,0.5,7,0
24,1,19,4,2,4,6
25,1,25,8,2,2,5
26,2,23,6,0.5,1,10
27,2,23,6,2,7,10
28,3,17,2,3.5,0,3
29,3,23,2,0.5,6,0
30,3,17,6,3.5,8,0
31,2,23,2,2,10,7
32,2,19,4,0.5,6,9
33,3,19,8,0.5,7,0
34,1,21,6,0.5,4,9
35,1,23,4,3.5,7,1
36,2,19,2,2,9,6
