nTrial,trial_type,Endowment,ITI,ISI,L_Option,R_Option
1,2,23,2,0.5,7,10
2,3,25,2,0.5,11,0
3,3,21,6,0.5,0,1
4,1,17,2,0.5,1,8
5,2,19,6,2,9,4
6,1,23,4,0.5,10,1
7,1,17,4,2,1,3
8,1,19,4,0.5,6,4
9,1,23,2,3.5,4,10
10,2,17,6,2,8,3
11,2,17,6,3.5,1,5
12,3,17,4,2,0,3
13,2,23,2,0.5,7,10
14,3,23,2,0.5,10,0
15,2,19,4,0.5,4,9
16,1,23,2,0.5,4,7
17,3,19,4,3.5,3,0
18,1,21,2,0.5,4,1
19,2,19,4,2,4,1
20,3,23,6,0.5,1,0
21,1,25,8,2,11,8
22,1,25,2,3.5,2,5
23,2,17,4,0.5,5,1
24,3,15,2,0.5,0,1
25,2,17,2,0.5,5,3
26,3,19,8,2,5,0
27,2,21,4,3.5,9,1
28,3,15,2,0.5,2,0
29,2,19,2,2,1,6
30,1,21,2,0.5,4,7
31,3,15,2,0.5,5,0
32,2,21,2,2,9,7
33,3,17,4,0.5,6,0
34,1,19,8,2,6,1
35,1,17,2,0.5,1,8
36,3,23,2,3.5,0,6
