nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,3,15,2,0.5,2,0
2,1,19,2,2,1,6
3,3,25,2,2,9,0
4,1,19,6,0.5,1,4
5,2,21,4,3.5,4,1
6,3,19,6,0.5,3,0
7,2,15,2,0.5,5,7
8,1,17,4,0.5,8,5
9,1,19,4,0.5,9,1
10,2,15,2,2,5,3
11,3,21,2,2,1,0
12,3,17,4,0.5,6,0
13,3,17,6,0.5,8,0
14,2,25,2,3.5,11,8
15,2,15,4,0.5,3,7
16,1,25,4,0.5,8,2
17,1,21,8,3.5,9,4
18,3,15,2,0.5,1,0
19,2,21,2,3.5,9,4
20,1,23,8,0.5,1,4
21,1,15,6,2,3,5
22,2,19,2,0.5,6,4
23,2,25,2,0.5,8,2
24,2,23,4,3.5,10,1
25,3,17,2,0.5,1,0
26,1,25,4,3.5,2,11
27,1,23,2,0.5,1,7
28,2,15,2,2,3,1
29,2,17,4,2,3,5
30,3,23,2,0.5,10,0
31,1,15,2,2,5,7
32,3,21,6,0.5,5,0
33,2,15,4,0.5,3,7
34,1,19,2,2,1,9
35,3,17,2,2,3,0
36,3,15,8,0.5,4,0
