LotisLeft,Lot_per,Lot_mon,Lot_color,Sure_mon,dist,response,RT
1,60,13,blue,5,Narrow,['j'],3.5062628998421133
0,40,13,blue,5,Narrow,No_resp,10
1,50,13,blue,5,Narrow,['f'],2.8547341809608042
0,60,13,blue,5,Narrow,['j'],1.991939411032945
1,50,13,blue,5,Narrow,['f'],2.2465491187758744
0,50,13,blue,5,Narrow,['j'],1.0726175499148667
0,50,13,blue,5,Narrow,['j'],1.3954524146392941
1,50,13,blue,5,Narrow,['f'],2.9684238135814667
0,40,13,blue,5,Narrow,['f'],3.2909736651927233
1,50,13,blue,5,Narrow,['j'],1.6109447423368692
1,50,13,blue,5,Narrow,['f'],1.1884462046436965
0,30,13,blue,5,Narrow,['f'],1.475154908373952
1,60,13,blue,5,Narrow,['f'],1.7156954216770828
0,40,13,blue,5,Narrow,['f'],1.7597052468918264
0,30,13,blue,5,Narrow,['j'],3.3953090547583997
0,40,13,blue,5,Narrow,['f'],1.4931943803094327
1,70,13,blue,5,Narrow,['f'],4.230984314810485
1,70,13,blue,5,Narrow,['f'],1.7124669761396945
1,50,13,blue,5,Narrow,['f'],1.177231125999242
0,60,13,blue,5,Narrow,['j'],0.9895278899930418
0,90,13,green,5,wide,['j'],2.2881531133316457
0,10,13,green,5,wide,['f'],2.2019738173112273
0,0,13,green,5,wide,['f'],1.7612310079857707
0,0,13,green,5,wide,['f'],1.1432092851027846
1,80,13,green,5,wide,['f'],2.568909530993551
1,100,13,green,5,wide,['f'],1.3270691065117717
0,90,13,green,5,wide,['j'],1.3153841253370047
0,0,13,green,5,wide,['f'],1.081187294330448
0,20,13,green,5,wide,['f'],1.7960379151627421
1,20,13,green,5,wide,['j'],1.2719056415371597
1,80,13,green,5,wide,['f'],1.2228201879188418
0,100,13,green,5,wide,['j'],1.0574117144569755
1,10,13,green,5,wide,['j'],1.1524656787514687
1,10,13,green,5,wide,['j'],1.0235662288032472
0,0,13,green,5,wide,['f'],0.8356980155222118
1,100,13,green,5,wide,['f'],0.7910123490728438
0,100,13,green,5,wide,['j'],0.7925585899502039
1,90,13,green,5,wide,['f'],0.7325692395679653
1,10,13,green,5,wide,['j'],0.8487551570869982
1,90,13,green,5,wide,['f'],1.2594941896386445
1,70,13,red,5,Skew,['j'],3.5764080574736
1,70,13,red,5,Skew,['f'],1.350596650969237
0,100,13,red,5,Skew,['j'],1.052651819307357
0,90,13,red,5,Skew,['j'],1.1569132534787059
1,80,13,red,5,Skew,['f'],1.4686610400676727
0,70,13,red,5,Skew,['j'],1.1406373376958072
0,80,13,red,5,Skew,['j'],0.7573352553881705
0,80,13,red,5,Skew,['j'],0.8045598729513586
0,100,13,red,5,Skew,['j'],0.8844535136595368
1,80,13,red,5,Skew,['f'],0.6614529881626368
0,80,13,red,5,Skew,['j'],0.7138283271342516
0,70,13,red,5,Skew,['j'],1.6546382661908865
1,80,13,red,5,Skew,['f'],1.2375049204565585
1,60,13,red,5,Skew,['j'],2.007476908620447
0,90,13,red,5,Skew,['j'],1.687987111043185
1,80,13,red,5,Skew,['f'],1.406197590753436
1,60,13,red,5,Skew,['j'],1.2340346975252032
1,80,13,red,5,Skew,['f'],1.6009795130230486
0,90,13,red,5,Skew,['j'],1.3812091397121549
1,90,13,red,5,Skew,['f'],0.7565877353772521
