Risk_per,Money,Color,Amb,RiskisLeft,response,RT,dist
20,13,red,100,0,No_resp,4,wide
30,13,red,100,1,['f'],3.3406070999335498,wide
40,13,red,100,0,['f'],2.7669155998155475,wide
50,13,red,100,0,['j'],1.486946600023657,wide
60,13,red,100,0,['j'],1.1047005001455545,wide
70,13,red,100,0,['j'],0.9214987000450492,wide
80,13,red,100,0,['j'],0.6911347999703139,wide
90,13,red,100,1,['f'],0.9164557999465615,wide
20,13,red,50,0,['f'],1.8051003001164645,wide
30,13,red,50,0,['f'],1.5833684999961406,wide
40,13,red,50,1,['f'],1.9605333001818508,wide
50,13,red,50,0,['j'],2.1777855998370796,wide
60,13,red,50,1,['f'],1.5936390000861138,wide
70,13,red,50,1,['f'],1.0498174000531435,wide
80,13,red,50,0,['j'],1.4351415999699384,wide
90,13,red,50,1,['f'],0.7015796999912709,wide
20,13,green,100,0,['f'],4.262308199889958,narrow
30,13,green,100,0,['f'],1.4841123002115637,narrow
40,13,green,100,0,['f'],1.172335899900645,narrow
50,13,green,100,0,['f'],1.1731290000025183,narrow
60,13,green,100,1,['f'],1.8057790000457317,narrow
70,13,green,100,1,['f'],0.5334997000172734,narrow
80,13,green,100,0,['j'],1.045426200143993,narrow
90,13,green,100,0,['j'],0.6056877998635173,narrow
20,13,green,50,1,['j'],2.236478199949488,narrow
30,13,green,50,1,['j'],1.317180500132963,narrow
40,13,green,50,0,['f'],1.2142884000204504,narrow
50,13,green,50,0,['j'],1.0570260998792946,narrow
60,13,green,50,0,['j'],1.466097000055015,narrow
70,13,green,50,1,['f'],1.7458001000341028,narrow
80,13,green,50,1,['f'],0.8345022001303732,narrow
90,13,green,50,0,['j'],1.2346872000489384,narrow
20,13,blue,100,1,['j'],2.5046393999364227,skew
30,13,blue,100,1,['j'],1.2738992001395673,skew
40,13,blue,100,0,['f'],1.1051901001483202,skew
50,13,blue,100,0,['f'],1.1797311999835074,skew
60,13,blue,100,1,['j'],1.0674782001879066,skew
70,13,blue,100,1,['f'],1.363609000109136,skew
80,13,blue,100,1,['f'],0.7156802001409233,skew
90,13,blue,100,1,['f'],0.8283426000270993,skew
20,13,blue,50,1,['f'],0.3721119000110775,skew
30,13,blue,50,1,['j'],3.1408357999753207,skew
40,13,blue,50,0,['f'],2.2365214000456035,skew
50,13,blue,50,1,['j'],3.3814515001140535,skew
60,13,blue,50,1,['f'],1.8456945000216365,skew
70,13,blue,50,0,['f'],1.3252723000478,skew
80,13,blue,50,1,['f'],1.5576997001189739,skew
90,13,blue,50,0,['j'],0.6872118001338094,skew
20,13,yellow,100,1,['j'],1.9910871000029147,True_unkown
30,13,yellow,100,1,['j'],1.102782699977979,True_unkown
40,13,yellow,100,0,['f'],2.0863374997861683,True_unkown
50,13,yellow,100,0,['f'],1.1677492000162601,True_unkown
60,13,yellow,100,1,['f'],0.9514647000469267,True_unkown
70,13,yellow,100,0,['j'],0.6955937000457197,True_unkown
80,13,yellow,100,1,['f'],0.4242159998975694,True_unkown
90,13,yellow,100,1,['f'],0.816904200008139,True_unkown
20,13,yellow,50,1,['f'],0.8723800000734627,True_unkown
30,13,yellow,50,0,['f'],2.3703826998826116,True_unkown
40,13,yellow,50,1,['j'],1.5880837000440806,True_unkown
50,13,yellow,50,1,['j'],1.7652519000694156,True_unkown
60,13,yellow,50,0,['j'],2.7654403999913484,True_unkown
70,13,yellow,50,0,['j'],1.0306577999144793,True_unkown
80,13,yellow,50,1,['f'],1.0864691000897437,True_unkown
90,13,yellow,50,0,['j'],1.1518306999932975,True_unkown
