onset	duration	trial_type	rt	resp	gender
0.678500024601817	3.00713509251364	decision	2.06641558813863	left	B
4.22859011893161	1.01633107825182	loss	NaN	n/a	n/a
11.2450923598371	3.00646130996756	decision	2.31612239289097	left	B
14.7948718257248	1.01681286934763	win	NaN	n/a	n/a
21.811839254573	3.33919582585804	decision	3.33286613295786	left	B
25.6951302601956	1.01644186605699	loss	NaN	n/a	n/a
32.7118438128382	3.00732134864666	decision	2.3163095547352	right	B
36.2616401838604	1.00027078087442	loss	NaN	n/a	n/a
39.678487949539	3.00664545316249	decision	1.29922499903478	left	B
43.228424691828	1.01650405232795	loss	NaN	n/a	n/a
46.0283713205718	3.00694642146118	decision	1.81687270081602	left	B
49.5784381707199	1.01680562412366	win	NaN	n/a	n/a
52.3784186092671	3.00712060253136	decision	2.56628502742387	right	B
55.9284685542807	1.0166800445877	win	NaN	n/a	n/a
60.8452627374791	3.00699079665355	decision	1.54948000703007	left	B
64.3946331641637	1.000419001095	loss	NaN	n/a	n/a
69.6618821658194	3.00684801046737	decision	2.56681662774645	left	B
73.2117733252235	1.01669544028118	win	NaN	n/a	n/a
76.0117643293925	3.00643565063365	decision	2.83296167617664	right	B
79.5619703433476	1.01637515192851	win	NaN	n/a	n/a
84.7118697739206	3.00820704689249	decision	2.57676216657273	right	B
88.2616770123132	1.01680049253628	loss	NaN	n/a	n/a
95.2784741842188	3.00692468625493	decision	1.81728717358783	right	B
98.8284127376974	1.00013071135618	loss	NaN	n/a	n/a
105.828540732386	3.00642297184095	decision	1.54900847980753	right	B
109.378389327321	1.0000972035341	win	NaN	n/a	n/a
116.378630826483	3.00684740673751	decision	1.81716702785343	left	B
119.92855519196	1.00034172134474	win	NaN	n/a	n/a
124.82858239091	3.00783423264511	decision	1.5494498196058	left	B
128.37845875835	1.01673679705709	win	NaN	n/a	n/a
131.178770654602	3.00662311422639	decision	2.06706522079185	right	B
134.7283964667	1.00002897996455	win	NaN	n/a	n/a
137.494991156505	3.00717222318053	decision	1.55081972363405	left	B
141.045266299509	1.01658676564693	loss	NaN	n/a	n/a
143.845845656004	3.00606102519669	decision	1.54907911852933	right	B
147.395427998388	1.01640956569463	loss	NaN	n/a	n/a
156.512117069215	3.00806275103241	decision	1.8158910064958	left	B
160.061836462235	1.00016059679911	loss	NaN	n/a	n/a
164.962036031066	3.0077928758692	decision	1.54958173865452	right	B
168.511920549208	1.01663506543264	win	NaN	n/a	n/a
171.311878951034	3.09007012820803	decision	3.08352550119162	left	B
174.945304969558	1.00011682533659	loss	NaN	n/a	n/a
181.945253349142	3.00706052966416	decision	1.54960860544816	right	B
185.495114321122	1.016623896081	loss	NaN	n/a	n/a
188.29526018654	3.00759545038454	decision	1.81836063740775	right	B
191.845445371233	1.01613365276717	win	NaN	n/a	n/a
194.962409449043	3.00680635194294	decision	1.8091299359221	left	B
198.51185504254	1.01661574561149	win	NaN	n/a	n/a
205.678657602752	3.00613136170432	decision	1.81622095475905	right	B
209.228720830288	1.01647024229169	loss	NaN	n/a	n/a
216.262089070398	3.00779981887899	decision	2.31679828860797	left	B
219.811872762628	1.01676245615818	loss	NaN	n/a	n/a
224.745442986488	3.00699381553568	decision	1.29936778522097	right	B
228.295150002697	1.01686599897221	loss	NaN	n/a	n/a
231.095355337253	3.00672997767106	decision	1.81615424063057	left	B
234.645523315063	1.01641952758655	loss	NaN	n/a	n/a
241.678852009587	3.00650055357255	decision	2.83283187053166	left	B
245.228555101436	1.00007546856068	loss	NaN	n/a	n/a
248.028785793576	3.00661224685609	decision	2.31627363176085	right	B
251.578475301154	1.00010414654389	win	NaN	n/a	n/a
255.012073146412	3.00784419453703	decision	1.30050675594248	left	B
258.561952230753	1.01651703286916	loss	NaN	n/a	n/a
261.362276805798	3.00691774324514	decision	1.29967358359136	right	B
264.912084345939	1.01649409043603	win	NaN	n/a	n/a
269.812033057678	3.0079130216036	decision	1.29948762920685	right	B
273.361882256577	1.00000965991057	win	NaN	n/a	n/a
276.145435922546	3.00692830886692	decision	2.5775156437885	right	B
279.695289347554	1.00002324441448	win	NaN	n/a	n/a
285.112356273923	3.00659866258502	decision	1.54926929902285	left	B
288.662213019794	1.01624896866269	win	NaN	n/a	n/a
295.695546242408	3.00704543595202	decision	1.55042396695353	left	B
299.245710295858	1.01614753901958	win	NaN	n/a	n/a
306.262479997007	3.00649210112169	decision	1.54949328955263	left	B
309.811962117208	1.00013795634732	win	NaN	n/a	n/a
312.611228322145	3.00673118513077	decision	1.81774330511689	left	B
316.161845789989	1.00051046884619	loss	NaN	n/a	n/a
318.962518727407	3.00719818426296	decision	2.56568520423025	right	B
322.512499845354	1.01612429460511	win	NaN	n/a	n/a
327.412139739841	3.00712271570228	decision	1.5498491988983	left	B
330.962415486574	1.01619282015599	loss	NaN	n/a	n/a
337.995459212223	3.0072156926617	decision	1.54978097532876	left	B
341.545743411407	1.01609289995395	win	NaN	n/a	n/a
348.578937470214	3.00702551216818	decision	1.54956513550133	left	B
352.128805385204	1.00012739072554	win	NaN	n/a	n/a
365.445744045312	3.00722293788567	decision	1.30027974653058	left	B
368.995775575982	1.01625168556347	loss	NaN	n/a	n/a
373.912410973571	3.00689268764108	decision	1.54952921252698	right	B
377.462528538425	1.01600294141099	win	NaN	n/a	n/a
382.345494425623	3.00717886444181	decision	1.30055113136768	left	B
385.895605651196	1.01633409713395	loss	NaN	n/a	n/a
390.812183390837	3.00787649489939	decision	1.29975539143197	right	B
394.362278315006	1.01652065524831	loss	NaN	n/a	n/a
401.378983717179	3.00710128271021	decision	2.31708718207665	left	B
404.928787936922	1.00029674195684	loss	NaN	n/a	n/a
407.712259493303	3.00782215758227	decision	1.54977523977868	right	B
411.262323626317	1.01631115470082	loss	NaN	n/a	n/a
418.279010916129	3.00746534252539	decision	1.81592843891121	right	B
421.829247117275	1.01586226816289	win	NaN	n/a	n/a
424.645665497752	3.00661345431581	decision	2.83286145399325	right	B
428.195764950011	1.0163353048265	loss	NaN	n/a	n/a
433.112197790295	3.00791573850438	decision	1.54978972952813	left	B
436.662082006456	1.00003169686534	loss	NaN	n/a	n/a
439.429095999105	3.00595053937286	decision	2.0670262791682	right	B
442.979113643756	1.01629636297002	win	NaN	n/a	n/a
445.762163784122	3.00694611947984	decision	1.29956007911824	left	B
449.312105960213	1.01671083574183	win	NaN	n/a	n/a
452.112246995559	3.00701766368002	decision	1.2996391702909	right	B
455.662152343197	1.00011320272461	win	NaN	n/a	n/a
460.545865368331	3.0065847763326	decision	1.29927903460339	left	B
464.095557291061	0.999999698018655	win	NaN	n/a	n/a
468.978903539479	3.00774276466109	decision	1.55093111516908	left	B
472.528637422482	1.00014580506831	loss	NaN	n/a	n/a
479.52907936601	3.00708498130552	decision	1.54907881654799	right	B
483.079193610232	1.01627643918619	loss	NaN	n/a	n/a
488.028996803332	3.00698204245418	decision	1.54966324474663	left	B
491.578725252766	1.00001388625242	loss	NaN	n/a	n/a
494.3789800948	3.00599068822339	decision	2.06613061903045	right	B
497.929004984209	1.01639477396384	win	NaN	n/a	n/a
501.029157098616	3.00665330165066	decision	1.54928982630372	left	B
504.57891996135	1.01696290075779	win	NaN	n/a	n/a
